epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.3741,1.33706,4.25153,1.00285,0.01298,0.46485,0.03757,0.01513,1.05089,4.33893,0.83978,0.00011817,0.00011817,0.00011817
2,153.507,1.23233,3.34031,0.95854,0.01775,0.74689,0.15043,0.08488,1.01423,4.20174,0.83276,0.000221132,0.000221132,0.000221132
3,236.157,1.19968,2.72782,0.95151,0.01405,0.67866,0.23819,0.13679,1.00808,4.07612,0.84236,0.000298897,0.000298897,0.000298897
4,320.82,1.23162,2.41468,0.95367,0.01187,0.74746,0.3386,0.19616,1.03441,3.89939,0.86008,0.000351465,0.000351465,0.000351465
5,405.782,1.17675,2.16337,0.96096,0.01182,0.85633,0.46205,0.30787,1.08406,3.52599,0.8692,0.000378835,0.000378835,0.000378835
6,491.796,1.16181,1.9496,0.95261,0.97517,0.09266,0.55791,0.36261,1.10761,3.13635,0.89337,0.000381007,0.000381007,0.000381007
7,577.569,1.1789,1.81427,0.96768,0.97575,0.13498,0.68504,0.43375,1.19366,2.82492,0.90908,0.000357982,0.000357982,0.000357982
8,665.301,1.13177,1.72291,0.9381,0.9838,0.43779,0.77138,0.53755,1.04591,2.41386,0.88039,0.000279063,0.000279063,0.000279063
9,755.203,1.10983,1.64651,0.93144,0.80508,0.62015,0.80765,0.54386,1.10938,2.07507,0.88654,0.000189072,0.000189072,0.000189072
10,843.872,1.09086,1.55719,0.93043,0.79461,0.67753,0.82752,0.59399,1.05062,1.74778,0.87491,9.9081e-05,9.9081e-05,9.9081e-05
