                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4746,                  4.476,                 1.1069,                0.00207,                0.35714,                0.01416,                0.00856,                 1.1073,                 4.1935,                0.93453,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 1.3133,                 4.1938,                 1.0102,                0.00243,                0.39286,                0.01541,                 0.0115,                 1.0317,                 4.1772,                0.91511,             5.6313e-05,             5.6313e-05,             5.6313e-05
                      3,                 1.1682,                 3.7791,                0.97313,                0.00319,                0.58036,                0.09329,                0.05294,                 0.9498,                 4.1785,                0.90613,               8.02e-05,               8.02e-05,               8.02e-05
                      4,                 1.1542,                  3.654,                0.98514,                0.00372,                0.61607,                0.21558,                0.13162,                0.98045,                 4.1215,                 0.9121,             9.6662e-05,             9.6662e-05,             9.6662e-05
                      5,                 1.0905,                  3.002,                0.93237,                0.00443,                 0.7619,                0.25442,                0.16399,                0.98686,                 4.1252,                0.90614,              0.0001057,              0.0001057,              0.0001057
                      6,                 1.0542,                 2.6991,                0.95806,                0.00491,                0.79762,                0.25137,                0.15861,                0.96603,                 4.1052,                0.89505,             0.00010731,             0.00010731,             0.00010731
                      7,                 1.0994,                 2.5408,                0.97179,                0.00464,                0.71429,                0.25426,                0.18978,                0.94236,                  4.088,                0.89037,              0.0001015,              0.0001015,              0.0001015
                      8,                 1.0415,                 2.3192,                0.94773,                0.00499,                0.79762,                0.26533,                0.19954,                 0.9192,                 4.0832,                0.89061,             8.8263e-05,             8.8263e-05,             8.8263e-05
                      9,                 1.1068,                 2.3899,                0.96213,                0.00529,                0.88095,                0.30449,                 0.2294,                0.93074,                 4.0486,                0.89033,               6.76e-05,               6.76e-05,               6.76e-05
                     10,                 1.0977,                 2.2933,                0.93316,                0.00529,                0.88095,                0.31637,                0.23866,                0.93736,                 4.0492,                 0.8914,             3.9512e-05,             3.9512e-05,             3.9512e-05
